Category,Location,Impact,Units,Reference,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia (US),Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,
NH3,Urban,Primary Health,/metric ton,Air Pollution_NH3_Urban_Primary Health,"8,359.25","2,884.71","10,926.95","8,964.09","10,755.75","7,529.54","12,947.85","2,536.31","2,202.07","11,057.89","14,663.50","6,901.48","3,670.39","11,008.70","2,849.88","3,537.53","2,787.41","12,628.26","3,140.03","2,553.41","2,202.07","4,785.36","12,158.20","6,829.95","2,497.91","2,203.51","3,115.87","2,588.00","4,303.51","2,972.18","3,092.99","9,718.10","4,002.20","11,180.84","11,011.70","10,798.75","8,271.52","2,623.27","2,202.07","11,485.71","2,232.81","12,986.44","3,648.79","10,965.50","2,686.35","10,824.72","3,980.48","5,129.91","10,839.63","2,682.33",
NH3,Peri-Urban,Primary Health,/metric ton,Air Pollution_NH3_Peri-Urban_Primary Health,"6,419.50","2,475.69","9,865.56","6,930.07","7,721.95","7,575.07","10,710.61","2,365.33","2,069.37","9,815.98","11,892.59","4,871.11","3,147.12","9,862.16","2,525.29","3,036.54","2,439.55","10,812.88","2,643.68","2,379.40","2,213.92","3,939.14","10,317.36","5,340.62","2,340.43","2,060.67","2,409.05","2,436.91","3,429.41","2,795.25","2,755.91","9,827.91","3,660.32","9,933.32","9,864.71","9,812.41","6,598.42","2,452.30","2,087.52","10,073.69","2,084.64","10,741.33","3,561.50","9,188.68","2,337.39","7,250.81","3,330.44","4,742.46","8,358.78","2,548.53",
NH3,Rural,Primary Health,/metric ton,Air Pollution_NH3_Rural_Primary Health,"5,606.49","1,122.77","2,122.47","3,893.22","5,631.62","1,944.66","6,589.92","1,393.79","1,081.70","5,856.94","6,527.68","1,557.25","3,421.13","4,525.32","1,161.00","1,451.14","1,565.76","6,093.92","1,960.24","1,408.81","1,081.70","4,346.21","5,863.71","3,849.96","1,586.91","1,081.99","1,117.89","1,334.85","3,079.42","1,800.17","1,304.43","5,759.44","1,707.81","5,978.04","5,756.92","2,400.68","2,675.93","1,475.62","1,081.70","6,102.81","1,109.18","6,049.33","1,454.64","3,279.44","1,529.13","5,783.80","2,551.56","3,561.43","4,424.05","1,181.24",
NH3,Transport,Primary Health,/metric ton,Air Pollution_NH3_Transport_Primary Health,"6,207.51","2,371.26","9,286.59","6,636.53","7,806.89","6,389.96","10,146.39","2,287.53","1,990.96","9,308.14","10,837.26","4,763.03","3,290.69","9,305.32","2,448.75","2,969.99","2,421.10","9,977.75","2,638.12","2,302.71","2,258.66","3,942.68","9,683.58","5,099.41","2,268.97","1,972.44","2,481.22","2,303.50","3,387.49","2,718.34","2,622.84","9,246.82","3,320.43","9,386.32","9,310.11","9,237.16","6,124.13","2,373.98","2,042.36","9,511.74","2,002.70","10,027.09","3,148.71","9,247.93","2,278.23","8,395.14","3,280.01","4,612.42","8,600.39","2,367.42",
NH3,N/A for NH3,Visibility,/metric ton,Air Pollution_NH3_N/A for NH3_Visibility,32.75,21.61,39.79,26.62,66.61,49.22,80.65,67.02,60.36,51.53,47.56,30.68,53.44,43.11,35.77,31.96,33.35,29.11,34.40,83.25,88.55,38.78,45.88,25.22,35.86,22.90,30.11,32.07,61.80,99.06,22.91,55.28,24.83,54.57,45.63,29.18,37.47,51.96,74.75,40.08,25.78,40.87,42.08,43.67,41.49,60.72,57.75,27.69,40.79,22.87,
PM10,Urban,Primary Health,/metric ton,Air Pollution_PM10_Urban_Primary Health,154.69,47.43,241.03,165.18,199.63,137.00,261.13,45.46,39.19,242.45,281.80,121.34,66.28,241.68,51.04,63.86,49.82,259.63,55.90,45.73,39.19,85.26,253.86,125.47,44.70,39.22,55.96,46.57,76.11,53.52,54.45,176.71,72.03,243.40,241.63,203.41,132.69,46.95,39.19,246.98,39.76,263.41,66.92,240.90,47.38,220.75,66.89,90.48,227.58,48.13,
PM10,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM10_Peri-Urban_Primary Health,120.74,44.14,231.18,129.33,145.69,141.17,239.18,44.76,39.28,226.09,252.77,88.64,59.09,230.97,47.46,57.34,45.93,241.29,49.22,45.01,41.90,72.36,235.69,100.37,44.31,39.07,45.47,46.23,62.63,52.71,51.22,230.65,68.42,231.67,230.96,223.95,110.10,46.24,39.57,233.30,39.51,240.41,67.99,156.49,43.62,135.19,59.05,85.93,151.06,48.33,
PM10,Rural,Primary Health,/metric ton,Air Pollution_PM10_Rural_Primary Health,104.21,26.31,44.42,74.36,103.91,40.50,127.46,31.24,25.86,120.91,127.65,33.45,65.87,83.26,27.18,32.11,33.95,123.32,40.22,31.44,25.86,80.21,120.88,73.42,34.48,25.86,26.47,30.28,58.09,38.13,29.34,114.42,36.38,121.99,107.27,48.92,47.52,32.54,25.86,123.39,26.31,122.84,32.42,58.94,32.79,120.12,46.24,66.18,80.52,27.59,
PM10,Transport,Primary Health,/metric ton,Air Pollution_PM10_Transport_Primary Health,115.32,42.54,196.63,122.39,144.99,117.38,205.33,43.53,38.14,196.85,213.98,85.50,61.52,196.72,46.19,55.97,45.70,204.37,49.20,43.79,42.83,71.91,200.84,94.81,43.18,37.78,46.94,43.94,61.75,51.32,48.79,182.95,61.88,197.57,196.74,174.49,100.85,44.98,39.02,199.09,38.33,204.87,59.87,170.56,42.75,153.49,57.77,82.77,153.07,45.05,
PM10,N/A for PM10,Visibility,/metric ton,Air Pollution_PM10_N/A for PM10_Visibility,47.46,31.01,52.39,41.03,74.82,59.27,87.79,77.24,69.05,65.45,60.67,42.91,65.68,57.36,48.99,44.93,48.21,44.04,47.51,88.44,92.98,52.72,57.21,39.81,49.96,34.68,42.74,44.51,70.82,101.12,35.77,66.86,36.98,67.85,60.23,43.32,49.77,65.31,84.28,54.70,37.79,55.31,55.18,53.94,54.26,70.66,66.88,42.55,54.08,34.33,
NOx,Urban,Primary Health,/metric ton,Air Pollution_NOx_Urban_Primary Health,"2,970.88",904.60,"3,705.89","3,340.18","3,728.37","2,600.51","4,317.29","1,032.71",859.56,"3,806.91","4,577.31","2,472.83","1,390.41","3,767.67","1,046.20","1,275.61","1,068.24","4,102.04","1,205.44","1,044.99",949.01,"1,678.04","3,944.40","2,417.43",948.44,778.23,"1,109.89",942.70,"1,713.80","1,232.43","1,116.72","3,428.40","1,385.90","3,830.58","3,785.33","3,674.95","2,650.98","1,039.49",955.31,"3,866.48",796.77,"4,158.28","1,336.61","3,703.67","1,023.55","3,728.93","1,421.09","1,773.27","3,701.29",935.51,
NOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_NOx_Peri-Urban_Primary Health,"2,343.70",814.06,"3,681.92","2,682.86","3,000.04","2,668.05","4,064.52",982.13,818.49,"3,747.69","4,255.75","1,704.41","1,220.15","3,727.06",937.12,"1,110.76",958.48,"3,945.68","1,037.25",993.64,958.45,"1,431.74","3,787.52","1,941.68",903.77,734.62,874.74,898.90,"1,414.67","1,182.48",985.40,"3,719.83","1,289.44","3,776.04","3,745.23","3,666.01","2,238.87",988.33,921.63,"3,776.26",750.98,"3,930.99","1,328.39","3,643.56",911.92,"2,660.86","1,232.87","1,706.16","3,066.65",901.83,
NOx,Rural,Primary Health,/metric ton,Air Pollution_NOx_Rural_Primary Health,"2,020.22",451.28,893.31,"1,516.42","2,051.37",806.61,"2,360.32",718.69,556.81,"2,101.40","2,245.01",658.57,"1,353.82","1,785.48",553.94,636.17,725.61,"2,104.07",869.18,729.90,646.27,"1,554.93","2,027.61","1,445.16",711.14,475.16,514.34,589.74,"1,347.62",903.35,569.59,"2,051.91",685.53,"2,130.75","2,066.39",968.21,966.99,723.39,652.57,"2,124.52",492.40,"2,107.87",672.04,"1,450.87",702.59,"2,055.56",993.98,"1,307.33","1,638.40",503.27,
NOx,Transport,Primary Health,/metric ton,Air Pollution_NOx_Transport_Primary Health,"2,097.38",733.46,"3,112.95","2,383.29","2,811.59","2,112.79","3,378.56",735.68,635.66,"3,118.37","3,528.87","1,584.39","1,080.85","3,118.39",783.38,972.80,795.89,"3,299.83",909.07,740.39,723.90,"1,267.33","3,205.26","1,708.96",731.13,630.55,796.29,746.52,"1,216.88",878.02,852.02,"3,102.12","1,082.34","3,136.13","3,118.83","3,100.32","1,922.39",762.42,653.42,"3,171.59",640.64,"3,292.70","1,027.07","3,108.06",748.17,"2,828.50","1,056.65","1,496.79","2,916.55",766.88,
NOx,N/A for NOx,Agriculture,/metric ton,Air Pollution_NOx_N/A for NOx_Agriculture,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,41.85,
NOx,N/A for NOx,Visibility,/metric ton,Air Pollution_NOx_N/A for NOx_Visibility,11.57,23.38,13.20,12.12,12.07,14.18,10.29,10.63,12.98,10.33,11.49,15.11,11.33,11.07,13.04,13.84,11.37,11.45,13.35,10.94,10.47,11.87,13.51,11.84,12.01,16.69,14.53,14.59,12.40,9.98,14.49,11.56,15.83,10.40,10.49,12.44,13.93,10.70,9.89,11.06,16.05,11.15,12.30,15.25,12.74,11.89,13.16,11.55,12.29,17.38,
VOC,N/A for VOC,Secondary Health,/metric ton,Air Pollution_VOC_N/A for VOC_Secondary Health,28.74,3.89,23.22,22.69,39.26,21.99,65.37,54.07,30.89,49.82,36.41,14.22,40.39,37.70,22.46,18.12,30.36,27.52,20.70,57.13,66.21,29.78,23.80,23.30,27.64,9.34,15.50,15.92,35.09,79.74,13.30,39.18,11.18,50.63,44.59,22.42,19.58,45.88,69.13,36.19,11.04,35.91,28.59,17.07,25.97,38.59,29.11,26.15,28.15,8.43,
VOC,N/A for VOC,Visibility,/metric ton,Air Pollution_VOC_N/A for VOC_Visibility,5.78,3.78,6.37,5.00,9.08,7.21,10.65,9.38,8.39,7.95,7.38,5.23,7.98,6.98,5.96,5.47,5.87,5.36,5.78,10.73,11.28,6.41,6.96,4.85,6.08,4.23,5.21,5.42,8.60,12.26,4.36,8.12,4.51,8.24,7.32,5.28,6.06,7.94,10.23,6.65,4.61,6.73,6.71,6.56,6.60,8.58,8.13,5.18,6.58,4.19,
VOC,N/A for VOC,Agriculture,/metric ton,Air Pollution_VOC_N/A for VOC_Agriculture,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,
